year,month,week,day,source,target,tweet_count,favorite_count
2022,11,47,25,VladaRH,VladaRH,1,83
2022,11,47,25,agroklub,12bisera,1,3
2022,11,47,25,agroklub,Qatar2022,1,3
2022,11,47,25,agroklub,Visoko,1,3
2022,11,47,25,agroklub,agroklub,4,12
2022,11,47,25,agroklub,električnipastir,1,3
2022,11,47,25,agroklub,liker,1,3
2022,11,47,25,agroklub,medica,1,3
2022,11,47,25,agroklub,prevara,1,3
2022,11,47,25,agroklub,recept,1,3
2022,11,47,25,agroklub,sarma,1,3
2022,11,47,25,agroklub,savjet,1,3
2022,11,47,25,agroklub,vina,1,3
2022,11,47,25,agroklub,vino,1,3
2022,11,47,25,agroklub,voćarstvo,1,3
2022,11,47,25,golhr,brazil,1,3
2022,11,47,25,golhr,delija,1,3
2022,11,47,25,golhr,golhr,7,21
2022,11,47,25,golhr,hrvatska,2,6
2022,11,47,25,golhr,kanada,1,3
2022,11,47,25,golhr,katar,1,3
2022,11,47,25,golhr,katar2022,1,3
2022,11,47,25,golhr,mma,1,3
2022,11,47,25,golhr,neymar,1,3
2022,11,47,25,golhr,nogomet,6,18
2022,11,47,25,golhr,srbija,1,3
2022,11,47,25,hajduk,Hajduk,3,240
2022,11,47,25,identyum,cefast50,1,0
2022,11,47,25,identyum,fast50,1,0
2022,11,47,25,identyum,identyum,1,0
2022,11,47,25,identyum,technologyfast50ce,1,0
2022,11,47,25,kkzadar,IgrajZadre,1,14
2022,11,47,25,mkundek,eko,1,2
2022,11,47,25,mup_rh,CyberCoalition,1,28
2022,11,47,25,mup_rh,NATO,1,28
2022,11,47,25,mup_rh,StrongerTogether,1,28
2022,11,47,25,novimilenij,inventa,1,0
2022,11,47,25,novimilenij,novimilenij,1,0
2022,11,47,25,novimilenij,samsungcroatia,1,0
2022,11,47,25,posaohr,Croatiajobs,1,0
2022,11,47,25,posaohr,jobCroatia,1,0
2022,11,47,25,posaohr,posaoHrvatska,1,0
2022,11,47,25,ravnododna,močvara,1,4
2022,11,47,25,ravnododna,orvel,1,4
2022,11,47,26,BloombergAdrHR,bloombergadriahrvatska,1,0
2022,11,47,26,LikeZadar,AdventZadar,1,21
2022,11,47,26,LikeZadar,LikeZadar,2,42
2022,11,47,26,RitamBalkana,RitamBalkana,1,0
2022,11,47,26,RitamBalkana,RitamBalkanaCom,1,0
2022,11,47,26,RitamBalkana,TomislavBralic,1,0
2022,11,47,26,RitamBalkana,balkan,1,0
2022,11,47,26,RitamBalkana,balkanmuzika,1,0
2022,11,47,26,RitamBalkana,glazba,1,0
2022,11,47,26,RitamBalkana,klapaIntrade,1,0
2022,11,47,26,RitamBalkana,lakunoc,1,0
2022,11,47,26,RitamBalkana,muzickanumera,1,0
2022,11,47,26,RitamBalkana,muzika,1,0
2022,11,47,26,RitamBalkana,novapesma,1,0
2022,11,47,26,RitamBalkana,novapjesma,1,0
2022,11,47,26,RitamBalkana,novisingl,1,0
2022,11,47,26,SaintKotar,AdventureGames,1,13
2022,11,47,26,SaintKotar,IndieGames,1,13
2022,11,47,26,SaintKotar,SaintKotar,1,13
2022,11,47,26,ZagrebFacts,ZagrebFacts,1,17
2022,11,47,26,agroklub,DobrobitŽivotinja,1,2
2022,11,47,26,agroklub,Katar2022,2,4
2022,11,47,26,agroklub,Obavezno,1,2
2022,11,47,26,agroklub,Odstrel,1,2
2022,11,47,26,agroklub,Pravila,1,2
2022,11,47,26,agroklub,SigurnostHrane,1,2
2022,11,47,26,agroklub,agroklub,7,14
2022,11,47,26,agroklub,croatiaVScanada,1,2
2022,11,47,26,agroklub,divlježivotinje,1,2
2022,11,47,26,agroklub,heljda,1,2
2022,11,47,26,agroklub,hrana,1,2
2022,11,47,26,agroklub,kolinje,1,2
2022,11,47,26,agroklub,lopta,1,2
2022,11,47,26,agroklub,poljoprivreda,3,6
2022,11,47,26,agroklub,radnasnaga,1,2
2022,11,47,26,agroklub,savjeti,1,2
2022,11,47,26,agroklub,svinjokolja,1,2
2022,11,47,26,agroklub,top5,1,2
2022,11,47,26,agroklub,vukovi,1,2
2022,11,47,26,agroklub,zdravlje,1,2
2022,11,47,26,djtimecroatia,CROatia,28,140
2022,11,47,26,djtimecroatia,SameMan,1,5
2022,11,47,26,djtimecroatia,chart,1,5
