user_id,username,tweets_collectted_at,location,followers,friends,statuses,last_time_check,failed
485965379,1D_Croatia_swag,2020-11-27 12:57:22.248152,"Zagreb, Croatia",27,0,125,-1,False
515472320,1D_Croatian_fan,2020-11-27 12:57:23.306965,Croatia,7,83,29,-1,False
297370750,1D_HS_fan,2020-11-27 12:57:24.732780,Croatia ,333,467,12397,-1,False
715834609,1D_Tanja,2020-11-27 12:57:27.100539,Croatia,34,147,112,-1,False
1674209749,1D_Weird0,2020-11-27 12:57:28.465030,Croatia,308,795,930,-1,False
380386554,1D_ZaynMalik_01,2020-11-27 12:57:29.585939,Croatia,372,1215,34,-1,False
712801602,1D_follow_me_6,2020-11-27 12:57:30.864030,Croatia,470,1518,875,-1,False
2742811043,1D_in_Croatia,2020-11-27 12:57:32.162200,Croatia,73,69,63,-1,False
130094051,1DandKidrauhl,2020-11-27 12:57:34.486220,Croatia ,76,465,938,-1,False
238174890,1Dcroatia_Ivana,2020-11-27 12:57:35.815350,Croatia,46,158,1732,-1,False
633342010,1DfanKarla,2020-11-27 12:57:37.156050,Croatia,680,1590,635,-1,False
499912855,1DfollovvMe,2020-11-27 12:57:38.544544,Croatia,364,0,3148,-1,False
713179040,1DiJBForLife,2020-11-27 12:57:39.935271,Croatia,511,0,8505,2020-11-19 11:30:19.651879,False
549232442,1Dijanaa,2020-11-27 12:57:41.281547,Croatia,1361,1473,1880,-1,False
379064976,1DirectionClara,2020-11-27 12:57:42.570995,Croatia,52,138,2437,-1,False
2954810715,1Dlove987,2020-11-27 12:57:43.949443,Zagreb,392,1617,116,-1,False
375543045,1DsLena,2020-11-27 12:57:46.636621,Croatia,128,571,296,-1,False
553654420,1DstreetteamCRO,2020-11-27 12:57:47.569388,"Zagreb, Croatia",8,7,1,-1,False
523406064,1DsummercampCro,-1,Croatia ,65,34,330,-1,True
1873224607,1HouseofHealing,2020-11-03 00:06:52.788723,Zagreb,24,55,42,2020-10-09 23:53:26.636750,False
2182692438,1KlikDoNagrade,2020-11-27 12:57:51.163987,Zagreb,15,42,14,-1,False
625857662,1MakesHarry,2020-11-27 12:57:53.465250,Croatia,184,373,606,-1,False
197010742,1MarijetaR,2020-11-27 12:57:56.407981,Republic of Croatia,1057,354,24809,-1,False
2989911797,1MarinCRO1,2020-11-27 12:57:57.685225,Republic of Croatia,15,76,973,-1,False
124435077,1_Nicki_1,2020-11-27 12:57:58.592164,Croatia,5,28,0,-1,False
4353879688,1_Orca,2020-11-27 12:57:59.885467,Zagreb,798,3958,268,-1,False
548341165,1_klik,2020-11-27 12:58:01.252088,Zagreb,49,61,555,-1,False
3228597616,1b9b79b10f86418,2020-11-27 12:58:02.311037,Republic of Croatia,180,922,10,-1,False
